title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2110/,Etaj 14 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,499.000 € + TVA,593.810 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2135/,Etaj 9 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,343.800 € + TVA,409.122 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2134/,Etaj 9 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,599.000 € + TVA,712.810 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2133/,Etaj 9 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,559.000 € + TVA,665.210 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2132/,Etaj 8 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,354.800 € + TVA,422.212 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2131/,Etaj 8 din 15,"38,82 m²",N/A,"9,70 m²",N/A,145.800 € + TVA,173.502 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-club-sks2130/,Etaj 8 din 15,"63,37 m²",1 dormitor,"8,80 m²",N/A,203.800 € + TVA,242.522 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2129/,Etaj 8 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,329.800 € + TVA,392.462 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2128/,Etaj 8 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,562.300 € + TVA,669.137 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2127/,Etaj 6 din 15,"38,82 m²",N/A,"9,70 m²",N/A,134.800 € + TVA,160.412 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
