title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2457/,Etaj 8,"62,60 m²",1 dormitor,"12,07 m²",1,137.600 € + TVA,163.744 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2426/,Etaj 9,"135,80 m²",3 dormitoare,"28,98 m²",2e,309.000 € + TVA,367.710 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2422/,Etaj 8,"136,40 m²",3 dormitoare,"48,23 m²",2e,299.000 € + TVA,355.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2419/,Etaj 8,"135,80 m²",3 dormitoare,"24,96 m²",2e,299.000 € + TVA,355.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2418/,Etaj 5,"135,80 m²",3 dormitoare,"28,98 m²",2e,269.000 € + TVA,320.110 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2414/,Etaj 12,"313,30 m²",3 dormitoare,"116,00 m²",3e,949.000 € + TVA,1.129.310 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2413/,Etaj 12,"318,80 m²",3 dormitoare,"145,01 m²",3e,999.000 € + TVA,1.188.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2412/,Etaj 12,"377,50 m²",3 dormitoare,"182,20 m²",3e,999.000 € + TVA,1.188.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2411/,Etaj 12,"324,80 m²",3 dormitoare,"216,76 m²",3e,799.000 € + TVA,950.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2410/,Etaj 12,"194,60 m²",3 dormitoare,"22,70 m²",3e,379.000 € + TVA,451.010 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2408/,Etaj 11,"157,90 m²",3 dormitoare,"107,34 m²",3e,479.000 € + TVA,570.010 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2405/,Etaj 10,"62,80 m²",1 dormitor,"11,63 m²",1,159.000 € + TVA,189.210 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2404/,Etaj 10,"90,30 m²",2 dormitoare,"18,19 m²",1,224.300 € + TVA,266.917 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2577/,Etaj 4 din 12,"95,30 m²",2 dormitoare,"27,83 m²",1,161.900 € + TVA,192.661 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2576/,Etaj 4 din 12,"65,40 m²",1 dormitor,"18,01 m²",1,124.600 € + TVA,148.274 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2574/,Etaj 3 din 12,"63,50 m²",1 dormitor,"18,01 m²",1,110.800 € + TVA,120.772 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2573/,Etaj 3 din 12,"136,80 m²",3 dormitoare,"50,51 m²",2e,254.800 € + TVA,303.212 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2571/,Etaj 3 din 12,"65,60 m²",1 dormitor,"10,97 m²",1,117.000 € + TVA,127.530 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2570/,Etaj 3 din 12,"62,40 m²",1 dormitor,"18,01 m²",1,112.800 € + TVA,122.952 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2567/,Etaj 3 din 12,"65,10 m²",1 dormitor,"18,01 m²",1,119.500 € + TVA,130.255 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2538/,Etaj 12,"187,50 m²",3 dormitoare,"25,41 m²",3e,410.000 € + TVA,487.900 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2537/,Etaj 12,"320,00 m²",3 dormitoare,"116,69 m²",3e,749.000 € + TVA,891.310 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2536/,Etaj 12,"377,50 m²",3 dormitoare,"186,30 m²",3e,999.000 € + TVA,1.188.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2535/,Etaj 12,"318,80 m²",3 dormitoare,"149,50 m²",3e,999.000 € + TVA,1.188.810 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Penthouse cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/penthouse-4-camere-one-lake-district-sks2534/,Etaj 12,"313,30 m²",3 dormitoare,"78,00 m²",3e,849.000 € + TVA,1.010.310 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2456/,Etaj 8,"119,60 m²",2 dormitoare,"23,00 m²",1,256.800 € + TVA,305.592 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2455/,Etaj 8,"62,60 m²",1 dormitor,"13,83 m²",1,137.850 € + TVA,164.042 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2454/,Etaj 8,"80,30 m²",1 dormitor,"35,55 m²",1,174.000 € + TVA,207.060 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2452/,Etaj 7,"89,10 m²",2 dormitoare,"19,18 m²",1,199.500 € + TVA,237.405 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2451/,Etaj 7,"136,40 m²",3 dormitoare,"51,00 m²",2e,293.550 € + TVA,349.325 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2449/,Etaj 7,"119,60 m²",2 dormitoare,"23,00 m²",1,251.800 € + TVA,299.642 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2447/,Etaj 5,"136,40 m²",3 dormitoare,"51,00 m²",2e,257.900 € + TVA,306.901 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2446/,Parter,"136,40 m²",3 dormitoare,"118,70 m²",2e,240.300 € + TVA,285.957 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2439/,Etaj 10,"136,40 m²",3 dormitoare,"48,23 m²",2e,327.000 € + TVA,389.130 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2438/,Etaj 10,"128,80 m²",3 dormitoare,"51,08 m²",2e,329.400 € + TVA,391.986 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2437/,Etaj 10,"90,30 m²",2 dormitoare,"19,12 m²",1,242.100 € + TVA,288.099 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2435/,Etaj 10,"135,80 m²",3 dormitoare,"24,96 m²",2e,315.000 € + TVA,374.850 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2403/,Etaj 10,"89,10 m²",2 dormitoare,"17,55 m²",1,221.500 € + TVA,263.585 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2402/,Etaj 10,"128,80 m²",3 dormitoare,"49,43 m²",2e,329.000 € + TVA,391.510 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2401/,Etaj 10,"136,40 m²",3 dormitoare,"44,85 m²",2e,326.000 € + TVA,387.940 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
