title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Cosmopolit Cantacuzino – schița apartament cu 2 camere apartament camere de la 95.71m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc A)",157500,1646,2,95.712,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Green Residence – schița apartament cu 1 camere apartament camere de la 36.29m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, Brașov(Green Residence 4)",62180,1713,1,36.292,0,0,0
Top City – schița apartament cu Studio camere de la 52.19m2 - Korter.ro,Top City,"str.Ștefan Baciu, 42-56, zona Tractorul, Brașov(B3-4)",76900,1473,0,52.192,0,0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 78.83m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",115733,1468,2,78.832,0,0,0
Lior By Casa Nobel – schița apartament cu 2 camere apartament camere de la 53.74m2 - Korter.ro,Lior By Casa Nobel,"str.Nicolae Labiș, 64, zona Tractorul, Brașov(B2)",94000,1749,2,53.742,0,0,0
Uno Brașov – schița apartament cu 2 camere apartament camere de la 61.1m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 5)",94143,1541,2,61.12,0,0,0
Valcom Residence Tractorul – schița apartament cu 3 camere apartament camere de la 104.8m2 - Korter.ro,Valcom Residence Tractorul,"str.Іoan Popasu, 23, zona Tractorul, Brașov(Bloc C2)",205000,1956,3,104.82,0,0,0
ONE66 – schița apartament cu 3 camere apartament camere de la 103.75m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,3,103.752,0,0,0
ONE66 – schița apartament cu 4 camere apartament camere de la 143.42m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,4,143.422,0,0,0
Alphaville Arena – schița apartament cu 2 camere apartament camere de la 71.39m2 - Korter.ro,Alphaville Arena,"str.Stadionului, 16(Bloc 3)",106000,1485,2,71.392,0,0,0
Transilvania Residence – schița apartament cu Garsonieră camere de la 62.53m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",87000,1391,0,62.532,0,0,0
Coresi Avantgerden – schița apartament cu 2 camere apartament camere de la 64.79m2 - Korter.ro,Coresi Avantgerden,"str.Zaharia Stancu, 1(Bloc 43)",0,0,2,64.792,0,0,0
Blue Residence Primaverii Sanpetru – schița apartament cu 2 camere apartament camere de la 66.2m2 - Korter.ro,Blue Residence Primaverii Sanpetru,"Str.Primaverii, Sanpetru, Brasov(Vila 2)",89900,1358,2,66.22,0,0,0
Coder Residence 3 – schița apartament cu Garsonieră camere de la 71.77m2 - Korter.ro,Coder Residence 3,"str.Plugarilor, 2M, Brașov(vila 2)",0,0,0,71.772,0,0,0
Coresi Avantgerden – schița apartament cu Penthouse 4 camere apartament camere de la 121.47m2 - Korter.ro,Coresi Avantgerden,"str.Zaharia Stancu, 1(Bloc 43)",0,0,4,121.472,0,0,0
Vitus Residence – schița apartament cu 2 camere apartament camere de la 89.0m2 - Korter.ro,Vitus Residence,"str.Mihai Viteazul, 87, Brașov(SCARA A)",145900,1639,2,892,0,0,0
Blue Residence Primaverii Sanpetru – schița apartament cu 2 camere apartament camere de la 66.2m2 - Korter.ro,Blue Residence Primaverii Sanpetru,"Str.Primaverii, Sanpetru, Brasov(Vila 2)",0,0,2,66.22,0,0,0
Alphaville Arena – schița apartament cu 2 camere apartament camere de la 84.16m2 - Korter.ro,Alphaville Arena,Str.Stadionului nr.16(Bloc 2),114420,1360,2,84.162,0,0,0
Dynamic Residence 2 – schița apartament cu 2 camere apartament camere de la 58.0m2 - Korter.ro,Dynamic Residence 2,"str.Stefan Baciu, Brașov(Bloc 2)",88400,1524,2,582,0,0,0
Dynamic Residence 2 – schița apartament cu 3 camere apartament camere de la 62.0m2 - Korter.ro,Dynamic Residence 2,"str.Stefan Baciu, Brașov(Bloc 2)",94000,1516,3,622,0,0,0
Green Residence – schița apartament cu 3 camere apartament camere de la 77.67m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 50)",104910,1351,3,77.672,0,0,0
Rainbow by Casa Nobel – schița apartament cu 3 camere apartament camere de la 72.24m2 - Korter.ro,Rainbow by Casa Nobel,"str.Nicolae Labiș, 86, Brașov(G1)",118000,1633,3,72.242,0,0,0
Vivamus Park Residence – schița apartament cu Garsonieră camere de la 47.5m2 - Korter.ro,Vivamus Park Residence,"str.Orizontului, 2, Brașov(Bloc 7)",60900,1282,0,47.52,0,0,0
Victory by Casa Nobel – schița apartament cu 2 camere apartament camere de la 56.41m2 - Korter.ro,Victory by Casa Nobel,"str.Nicolae Labiș, 33, Brașov(V6)",93000,1649,2,56.412,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 4 camere apartament camere de la 178.81m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",279214,1562,4,178.812,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Vivamus Park Residence – schița apartament cu Studio camere de la 46.17m2 - Korter.ro,Vivamus Park Residence,"str.Orizontului, 2, Brașov(Bloc 7)",67200,1455,0,46.172,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.38m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 49)",0,0,2,56.382,0,0,0
Radsor Residence – schița apartament cu 2 camere apartament camere de la 60.0m2 - Korter.ro,Radsor Residence,"str.Calea Brașovului, Râșnov, zona Sud, Brașov(C3)",72078,1201,2,602,0,0,0
Avantgarden 3 – schița apartament cu Garsonieră camere de la 38.27m2 - Korter.ro,Avantgarden 3,"str.Pelicanului, 5, Brașov(Bloc B90)",64000,1672,0,38.272,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.2m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,56.22,0,0,0
Avantgarden 3 – schița apartament cu 2 camere apartament camere de la 52.54m2 - Korter.ro,Avantgarden 3,"str.Pelicanului, 5, Brașov(Bloc B92)",82600,1572,2,52.542,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 4 camere apartament camere de la 248.67m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",433511,1743,4,248.672,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Cosmopolit Zenit – schița apartament cu Garsonieră camere de la 69.16m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc B)",121955,1763,0,69.162,ETAJ CONTRACTAT30,0,0
