title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 53.92m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,53.922,0,0,0
Baciu Hills – schița apartament cu 2 camere apartament camere de la 39.13m2 - Korter.ro,Baciu Hills,"str.Galaxiei, 9, Cluj-Napoca(Bloc 1)",0,0,2,39.132,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 67.94m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",146071,2150,2,67.942,0,0,0
Tribeka Vivo – schița apartament cu 4 camere apartament camere de la 88.84m2 - Korter.ro,Tribeka Vivo,"str.Răzoare, 204, Florești, Cluj-Napoca(Scara B)",143400,1614,4,88.842,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 51.31m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,51.312,0,0,0
Dunarii Park Apartments – schița apartament cu 3 camere apartament camere de la 73.75m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,3,73.752,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 86.16m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",185244,2150,2,86.162,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 53.18m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,53.182,0,0,0
Wings – schița apartament cu 3 camere apartament camere de la 76.6m2 - Korter.ro,Wings,"str.Frunzisului, 88A, Cluj-Napoca(Corp 2)",145540,1900,3,76.62,0,0,0
Solaris Eden – schița apartament cu 3 camere apartament camere de la 72.14m2 - Korter.ro,Solaris Eden,"str.Horea, 33, Cluj-Napoca(Solaris Eden)",153400,2126,3,72.142,0,0,0
Azoria – schița apartament cu 3 camere apartament camere de la 87.68m2 - Korter.ro,Azoria,"str.Frunzișului 91, zona Cartierul Europa, Cluj-Napoca(Bloc B)",212000,2418,3,87.682,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 62.54m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",0,0,2,62.542,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 54.08m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",0,0,2,54.082,0,0,0
West City Tower – schița apartament cu 2 camere apartament camere de la 59.5m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,2,59.52,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 2 camere apartament camere de la 65.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",165000,2538,2,652,0,0,0
M-Avenue – schița apartament cu 2 camere apartament camere de la 58.36m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,2,58.362,0,0,0
M-Avenue – schița apartament cu 2 camere apartament camere de la 57.2m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,2,57.22,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 63.99m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",0,0,2,63.992,0,0,0
Solaris Eden – schița apartament cu 5 camere apartament camere de la 105.81m2 - Korter.ro,Solaris Eden,"str.Horea, 33, Cluj-Napoca(Solaris Eden)",214700,2029,5,105.812,0,0,0
Baciu Hills – schița apartament cu 4 camere apartament camere de la 78.19m2 - Korter.ro,Baciu Hills,"str.Galaxiei, 9, Cluj-Napoca(Bloc 1)",0,0,4,78.192,0,0,0
Dunarii Park Apartments – schița apartament cu 3 camere apartament camere de la 94.89m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,3,94.892,0,0,0
Tribeka Vivo – schița apartament cu 2 camere apartament camere de la 72.04m2 - Korter.ro,Tribeka Vivo,"str.Răzoare, 204, Florești, Cluj-Napoca(Scara B)",125000,1735,2,72.042,0,0,0
M-Avenue – schița apartament cu 2 camere apartament camere de la 57.23m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,2,57.232,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 2 camere apartament camere de la 90.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",176000,1956,2,902,0,0,0
Dunarii Park Apartments – schița apartament cu 3 camere apartament camere de la 75.9m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,3,75.92,0,0,0
Sky Boulevard – schița apartament cu 3 camere apartament camere de la 79.95m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",171893,2150,3,79.952,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 3 camere apartament camere de la 85.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",214000,2518,3,852,0,0,0
M-Avenue – schița apartament cu 3 camere apartament camere de la 54.57m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,3,54.572,0,0,0
